difficulty,ID,year,type,day,name,type,option,JP-ja
11,,2012,JOIsp,Day1-1,Building 2,Batch, <span class=unavailable>Unavailable</span>,https://www.ioi-jp.org/camp/2012/2012-sp-tasks/2012-sp-day1.pdf
10,,2012,JOIsp,Day1-2,Fish,Batch, <span class=unavailable>Unavailable</span>,https://www.ioi-jp.org/camp/2012/2012-sp-tasks/2012-sp-day1.pdf
8,,2012,JOIsp,Day1-3,JOI Flag,Batch, <span class=unavailable>Unavailable</span>,https://www.ioi-jp.org/camp/2012/2012-sp-tasks/2012-sp-day1.pdf
,JOI12_broadcasting,2012,JOIsp,Day2-1,Broadcasting,Output Only, <span class=unavailable>Unavailable</span>,https://www.ioi-jp.org/camp/2012/2012-sp-tasks/2012-sp-day2.pdf
11,JOI12_constellation,2012,JOIsp,Day2-2,Constellation,Batch,,https://www.ioi-jp.org/camp/2012/2012-sp-tasks/2012-sp-day2.pdf
11,JOI12_rotate,2012,JOIsp,Day2-3,Rotate,Batch,,https://www.ioi-jp.org/camp/2012/2012-sp-tasks/2012-sp-day2.pdf
9,,2012,JOIsp,Day3-1,Fortune Telling,Batch, <span class=unavailable>Unavailable</span>,https://www.ioi-jp.org/camp/2012/2012-sp-tasks/2012-sp-day3.pdf
11,,2012,JOIsp,Day3-2,Kangaroo,Batch, <span class=unavailable>Unavailable</span>,https://www.ioi-jp.org/camp/2012/2012-sp-tasks/2012-sp-day3.pdf
12,,2012,JOIsp,Day3-3,Sokoban,Batch, <span class=unavailable>Unavailable</span>,https://www.ioi-jp.org/camp/2012/2012-sp-tasks/2012-sp-day3.pdf
9,,2012,JOIsp,Day4-1,Chinese,Batch, <span class=unavailable>Unavailable</span>,https://www.ioi-jp.org/camp/2012/2012-sp-tasks/2012-sp-day4.pdf
12,,2012,JOIsp,Day4-2,Copy and Paste,Batch, <span class=unavailable>Unavailable</span>,https://www.ioi-jp.org/camp/2012/2012-sp-tasks/2012-sp-day4.pdf
11,,2012,JOIsp,Day4-3,Invitation,Batch, <span class=unavailable>Unavailable</span>,https://www.ioi-jp.org/camp/2012/2012-sp-tasks/2012-sp-day4.pdf
9,,2013,JOIsp,Day1-1,Bus Tour,Batch, <span class=unavailable>Unavailable</span>,https://www.ioi-jp.org/camp/2013/2013-sp-tasks/2013-sp-day1.pdf
9,JOI13_collecting,2013,JOIsp,Day1-2,Collecting Images is Fun,Batch,,https://www.ioi-jp.org/camp/2013/2013-sp-tasks/2013-sp-day1.pdf
11,,2013,JOIsp,Day1-3,Communication Jamming,Batch, <span class=unavailable>Unavailable</span>,https://www.ioi-jp.org/camp/2013/2013-sp-tasks/2013-sp-day1.pdf
5,,2013,JOIsp,Day1-4,JOI Poster,Batch, <span class=unavailable>Unavailable</span>,https://www.ioi-jp.org/camp/2013/2013-sp-tasks/2013-sp-day1.pdf
10,JOI13_construction,2013,JOIsp,Day2-1,Construction Project,Batch,,https://www.ioi-jp.org/camp/2013/2013-sp-tasks/2013-sp-day2.pdf
8,JOI13_mascots,2013,JOIsp,Day2-2,Mascots,Batch,,https://www.ioi-jp.org/camp/2013/2013-sp-tasks/2013-sp-day2.pdf
9,JOI13_spy,2013,JOIsp,Day2-3,Spy,Batch,,https://www.ioi-jp.org/camp/2013/2013-sp-tasks/2013-sp-day2.pdf
12,JOI13_cake,2013,JOIsp,Day3-1,Cake,Batch,,https://www.ioi-jp.org/camp/2013/2013-sp-tasks/2013-sp-day3.pdf
10,JOI13_koala,2013,JOIsp,Day3-2,Koala,Batch,,https://www.ioi-jp.org/camp/2013/2013-sp-tasks/2013-sp-day3.pdf
8,JOI13_mountain,2013,JOIsp,Day3-3,Mountain Rescue Team,Interactive,,https://www.ioi-jp.org/camp/2013/2013-sp-tasks/2013-sp-day3.pdf
10,,2013,JOIsp,Day4-1,Messenger,Batch, <span class=unavailable>Unavailable</span>,https://www.ioi-jp.org/camp/2013/2013-sp-tasks/2013-sp-day4.pdf
8,,2013,JOIsp,Day4-2,Presents,Batch, <span class=unavailable>Unavailable</span>,https://www.ioi-jp.org/camp/2013/2013-sp-tasks/2013-sp-day4.pdf
12,,2013,JOIsp,Day4-3,Spaceships,Batch, <span class=unavailable>Unavailable</span>,https://www.ioi-jp.org/camp/2013/2013-sp-tasks/2013-sp-day4.pdf
9,JOI14_bus,2014,JOIsp,Day1-1,Bus,Batch,,https://www.ioi-jp.org/camp/2014/2014-sp-tasks/2014-sp-d1.pdf
9,JOI14_growing,2014,JOIsp,Day1-2,Growing Vegetables is Fun,Batch,,https://www.ioi-jp.org/camp/2014/2014-sp-tasks/2014-sp-d1.pdf
10,JOI14_historical,2014,JOIsp,Day1-3,Historical Research,Batch,,https://www.ioi-jp.org/camp/2014/2014-sp-tasks/2014-sp-d1.pdf
7,JOI14_ramen,2014,JOIsp,Day1-4,Ramen,Interactive,,https://www.ioi-jp.org/camp/2014/2014-sp-tasks/2014-sp-d1.pdf
10,JOI14_bottle,2014,JOIsp,Day2-1,Water Bottle,Batch,,https://www.ioi-jp.org/camp/2014/2014-sp-tasks/2014-sp-d2.pdf
9,JOI14_friends,2014,JOIsp,Day2-2,Making Friends is Fun,Batch,,https://www.ioi-jp.org/camp/2014/2014-sp-tasks/2014-sp-d2.pdf
10,JOI14_stamps,2014,JOIsp,Day2-3,Collecting Stamps,Batch,,https://www.ioi-jp.org/camp/2014/2014-sp-tasks/2014-sp-d2.pdf
6,JOI14_joioji,2014,JOIsp,Day3-1,JOIOJI,Batch,,https://www.ioi-jp.org/camp/2014/2014-sp-tasks/2014-sp-d3.pdf
11,JOI14_scarecrows,2014,JOIsp,Day3-2,Scarecrows,Batch,,https://www.ioi-jp.org/camp/2014/2014-sp-tasks/2014-sp-d3.pdf
10,JOI14_voltage,2014,JOIsp,Day3-3,Voltage,Batch,,https://www.ioi-jp.org/camp/2014/2014-sp-tasks/2014-sp-d3.pdf
11,JOI14_constellation2,2014,JOIsp,Day4-1,Constellation 2,Batch,,https://www.ioi-jp.org/camp/2014/2014-sp-tasks/2014-sp-d4.pdf
12,JOI14_kanji,2014,JOIsp,Day4-2,Kanji Shiritori,Batch,,https://www.ioi-jp.org/camp/2014/2014-sp-tasks/2014-sp-d4.pdf
7,JOI14_straps,2014,JOIsp,Day4-3,Straps,Batch,,https://www.ioi-jp.org/camp/2014/2014-sp-tasks/2014-sp-d4.pdf
8,JOI15_copypaste2,2015,JOIsp,Day1-1,Copy and Paste 2,Batch,,https://www.ioi-jp.org/camp/2015/2015-sp-tasks/2015-sp-d1.pdf
7,JOI15_enjoi,2015,JOIsp,Day1-2,En-JOI-able Logo Design,Batch, <span class=unavailable>Unavailable</span>,https://www.ioi-jp.org/camp/2015/2015-sp-tasks/2015-sp-d1.pdf
10,JOI15_growing2,2015,JOIsp,Day1-3,Growing Vegetables is Fun 2,Batch, <span class=unavailable>Unavailable</span>,https://www.ioi-jp.org/camp/2015/2015-sp-tasks/2015-sp-d1.pdf
9,JOI15_ioioi_cards,2015,JOIsp,Day1-4,IOIOI Cards,Batch, <span class=unavailable>Unavailable</span>,https://www.ioi-jp.org/camp/2015/2015-sp-tasks/2015-sp-d1.pdf
8,,2015,JOIsp,Day2-1,Building 3,Batch, <span class=unavailable>Unavailable</span>,https://www.ioi-jp.org/camp/2015/2015-sp-tasks/2015-sp-d2.pdf
10,,2015,JOIsp,Day2-2,Keys,Batch, <span class=unavailable>Unavailable</span>,https://www.ioi-jp.org/camp/2015/2015-sp-tasks/2015-sp-d2.pdf
10,,2015,JOIsp,Day2-3,Road Development,Batch, <span class=unavailable>Unavailable</span>,https://www.ioi-jp.org/camp/2015/2015-sp-tasks/2015-sp-d2.pdf
12,,2015,JOIsp,Day3-1,AAQQZ,Batch, <span class=unavailable>Unavailable</span>,https://www.ioi-jp.org/camp/2015/2015-sp-tasks/2015-sp-d3.pdf
9,,2015,JOIsp,Day3-2,Card Game Is Great Fun,Batch, <span class=unavailable>Unavailable</span>,https://www.ioi-jp.org/camp/2015/2015-sp-tasks/2015-sp-d3.pdf
10,,2015,JOIsp,Day3-3,Navigation,Batch, <span class=unavailable>Unavailable</span>,https://www.ioi-jp.org/camp/2015/2015-sp-tasks/2015-sp-d3.pdf
8,JOI15_inheritance,2015,JOIsp,Day4-1,Inheritance,Batch, <span class=unavailable>Unavailable</span>,https://www.ioi-jp.org/camp/2015/2015-sp-tasks/2015-sp-d4.pdf
10,JOI15_memory,2015,JOIsp,Day4-2,Limited Memory,Interactive,,https://www.ioi-jp.org/camp/2015/2015-sp-tasks/2015-sp-d4.pdf
12,JOI15_walls,2015,JOIsp,Day4-3,Walls,Batch,,https://www.ioi-jp.org/camp/2015/2015-sp-tasks/2015-sp-d4.pdf
10,JOI16_matryoshka,2016,JOIsp,Day1-1,Matryoshka,Batch,,https://www.ioi-jp.org/camp/2016/2016-sp-tasks/2016-sp-d1.pdf
9,JOI16_memory2,2016,JOIsp,Day1-2,Memory 2,Interactive,,https://www.ioi-jp.org/camp/2016/2016-sp-tasks/2016-sp-d1.pdf
11,JOI16_solitaire,2016,JOIsp,Day1-3,Solitaire,Batch,,https://www.ioi-jp.org/camp/2016/2016-sp-tasks/2016-sp-d1.pdf
9,JOI16_employment,2016,JOIsp,Day2-1,Employment,Batch,,https://www.ioi-jp.org/camp/2016/2016-sp-tasks/2016-sp-d2.pdf
12,JOI16_sandwich,2016,JOIsp,Day2-2,Sandwich,Batch,,https://www.ioi-jp.org/camp/2016/2016-sp-tasks/2016-sp-d2.pdf
9,JOI16_toilets,2016,JOIsp,Day2-3,Toilets,Batch,,https://www.ioi-jp.org/camp/2016/2016-sp-tasks/2016-sp-d2.pdf
11,JOI16_dungeon2,2016,JOIsp,Day3-1,Dungeon 2,Batch,,https://www.ioi-jp.org/camp/2016/2016-sp-tasks/2016-sp-d3.pdf
11,JOI16_sushi,2016,JOIsp,Day3-2,Sushi,Batch,,https://www.ioi-jp.org/camp/2016/2016-sp-tasks/2016-sp-d3.pdf
9,JOI16_telegraph,2016,JOIsp,Day3-3,Telegraph,Batch,,https://www.ioi-jp.org/camp/2016/2016-sp-tasks/2016-sp-d3.pdf
10,JOI16_skating,2016,JOIsp,Day4-1,Dangerous Skating,Batch,,https://www.ioi-jp.org/camp/2016/2016-sp-tasks/2016-sp-d4.pdf
9,JOI16_snowy,2016,JOIsp,Day4-2,Snowy Roads,Interactive,,https://www.ioi-jp.org/camp/2016/2016-sp-tasks/2016-sp-d4.pdf
10,JOI16_worst_reporter2,2016,JOIsp,Day4-3,Worst Reporter 2,Batch,,https://www.ioi-jp.org/camp/2016/2016-sp-tasks/2016-sp-d4.pdf
11,JOI17_cultivation,2017,JOIsp,Day1-1,Cultivation,Batch,,https://www.ioi-jp.org/camp/2017/2017-sp-tasks/2017-sp-d1.pdf
11,JOI17_port_facility,2017,JOIsp,Day1-2,Port Facility,Batch,,https://www.ioi-jp.org/camp/2017/2017-sp-tasks/2017-sp-d1.pdf
12,JOI17_sparklers,2017,JOIsp,Day1-3,Sparklers,Batch,,https://www.ioi-jp.org/camp/2017/2017-sp-tasks/2017-sp-d1.pdf
12,JOI17_arranging_tickets,2017,JOIsp,Day2-1,Arranging Tickets,Batch,,https://www.ioi-jp.org/camp/2017/2017-sp-tasks/2017-sp-d2.pdf
11,JOI17_broken_device,2017,JOIsp,Day2-2,Broken Device,Batch,,https://www.ioi-jp.org/camp/2017/2017-sp-tasks/2017-sp-d2.pdf
12,JOI17_railway_trip,2017,JOIsp,Day2-3,Railway Trip,Batch,,https://www.ioi-jp.org/camp/2017/2017-sp-tasks/2017-sp-d2.pdf
11,JOI17_coach,2017,JOIsp,Day3-1,Long Distance Coach,Batch,,https://www.ioi-jp.org/camp/2017/2017-sp-tasks/2017-sp-d3.pdf
11,JOI17_long_mansion,2017,JOIsp,Day3-2,Long Mansion,Batch,,https://www.ioi-jp.org/camp/2017/2017-sp-tasks/2017-sp-d3.pdf
12,JOI17_park,2017,JOIsp,Day3-3,Natural Park,Batch,,https://www.ioi-jp.org/camp/2017/2017-sp-tasks/2017-sp-d3.pdf
11,JOI17_abduction2,2017,JOIsp,Day4-1,Abduction 2,Batch,,https://www.ioi-jp.org/camp/2017/2017-sp-tasks/2017-sp-d4.pdf
12,JOI17_city,2017,JOIsp,Day4-2,City,Interactive,,https://www.ioi-jp.org/camp/2017/2017-sp-tasks/2017-sp-d4.pdf
11,JOI17_dragon2,2017,JOIsp,Day4-3,Dragon 2,Batch,,https://www.ioi-jp.org/camp/2017/2017-sp-tasks/2017-sp-d4.pdf
11,JOI18_construction,2018,JOIsp,Day1-1,Construction of Highway,Batch,,https://www.ioi-jp.org/camp/2018/2018-sp-tasks/day1/construction.pdf
12,JOI18_fences,2018,JOIsp,Day1-2,Fences,Batch,,https://www.ioi-jp.org/camp/2018/2018-sp-tasks/day1/fences.pdf
9,JOI18_tents,2018,JOIsp,Day1-3,Tents,Batch,,https://www.ioi-jp.org/camp/2018/2018-sp-tasks/day1/tents.pdf
12,JOI18_asceticism,2018,JOIsp,Day2-1,Asceticism,Batch,,https://www.ioi-jp.org/camp/2018/2018-sp-tasks/day2/asceticism.pdf
12,JOI18_road_service,2018,JOIsp,Day2-2,Road Service,Output Only, <span class=unavailable>Unavailable</span>,https://www.ioi-jp.org/camp/2018/2018-sp-tasks/day2/road.pdf
9,JOI18_worst_reporter3,2018,JOIsp,Day2-3,Worst Reporter 3,Batch,,https://www.ioi-jp.org/camp/2018/2018-sp-tasks/day2/worst_reporter3.pdf
10,JOI18_airline,2018,JOIsp,Day3-1,Airline Route Map,Interactive,,https://www.ioi-jp.org/camp/2018/2018-sp-tasks/day3/airline.pdf
10,JOI18_bitaro,2018,JOIsp,Day3-2,Bitaro's Party,Batch,,https://www.ioi-jp.org/camp/2018/2018-sp-tasks/day3/bitaro.pdf
12,JOI18_security_gate,2018,JOIsp,Day3-3,Security Gate,Batch,,https://www.ioi-jp.org/camp/2018/2018-sp-tasks/day3/security_gate.pdf
12,JOI18_candies,2018,JOIsp,Day4-1,Candies,Batch,,https://www.ioi-jp.org/camp/2018/2018-sp-tasks/day4/candies.pdf
10,JOI18_library,2018,JOIsp,Day4-2,Library,Interactive,,https://www.ioi-jp.org/camp/2018/2018-sp-tasks/day4/library.pdf
12,JOI18_wild_boar,2018,JOIsp,Day4-3,Wild Boar,Batch,,https://www.ioi-jp.org/camp/2018/2018-sp-tasks/day4/wild_boar.pdf
10,JOI19_examination,2019,JOIsp,Day1-1,Examination,Batch,,https://www.ioi-jp.org/camp/2019/2019-sp-tasks/day1/examination.pdf
11,JOI19_meetings,2019,JOIsp,Day1-2,Meetings,Interactive,,https://www.ioi-jp.org/camp/2019/2019-sp-tasks/day1/meetings.pdf
11,JOI19_naan,2019,JOIsp,Day1-3,Naan,Batch,,https://www.ioi-jp.org/camp/2019/2019-sp-tasks/day1/naan.pdf
12,JOI19_antennas,2019,JOIsp,Day2-1,Two Antennas,Batch,,https://www.ioi-jp.org/camp/2019/2019-sp-tasks/day2/antennas.pdf
12,JOI19_dishes,2019,JOIsp,Day2-2,Two Dishes,Batch,,https://www.ioi-jp.org/camp/2019/2019-sp-tasks/day2/dishes.pdf
11,JOI19_transportations,2019,JOIsp,Day2-3,Two Transportations,Communication,,https://www.ioi-jp.org/camp/2019/2019-sp-tasks/day2/transportations.pdf
12,JOI19_designated_cities,2019,JOIsp,Day3-1,Designated Cities,Batch,,https://www.ioi-jp.org/camp/2019/2019-sp-tasks/day3/designated.pdf
9,JOI19_lamps,2019,JOIsp,Day3-2,Lamps,Batch,,https://www.ioi-jp.org/camp/2019/2019-sp-tasks/day3/lamps.pdf
11,JOI19_timeleap,2019,JOIsp,Day3-3,Bitaro，who Leaps through Time,Batch,,https://www.ioi-jp.org/camp/2019/2019-sp-tasks/day3/timeleap.pdf
